,challenge,sample,similarity
871,1.0,133.0,0.9665118691237833
1540,2.0,64.0,0.9655711099949233
1551,2.0,75.0,0.9608629658468245
2873,3.0,659.0,0.9595329059985429
3657,4.0,705.0,0.9553339909982941
2694,3.0,480.0,0.9475312792083215
3371,4.0,419.0,0.9444377642330168
1505,2.0,29.0,0.9439563028414478
1815,2.0,339.0,0.9429858254770704
3226,4.0,274.0,0.9410271891129879
3398,4.0,446.0,0.9409658539352812
2303,3.0,89.0,0.940227576284418
3463,4.0,511.0,0.9381216096426123
2437,3.0,223.0,0.9364483857090405
2781,3.0,567.0,0.934241173820021
3165,4.0,213.0,0.9324860731578735
2528,3.0,314.0,0.9324147979092279
2594,3.0,380.0,0.9320224232616793
3363,4.0,411.0,0.9315113009212874
2928,3.0,714.0,0.9306309260191572
2242,3.0,28.0,0.9295887720674036
2735,3.0,521.0,0.9260457608700674
2472,3.0,258.0,0.9257791591804785
3026,4.0,74.0,0.9257727820108304
1545,2.0,69.0,0.9238887400404256
3328,4.0,376.0,0.9229264855265209
2576,3.0,362.0,0.9207713253534517
2854,3.0,640.0,0.9187296419592782
2500,3.0,286.0,0.9185337797745127
1780,2.0,304.0,0.9170904121995472
2682,3.0,468.0,0.9159058814265272
2675,3.0,461.0,0.915664451334587
2803,3.0,589.0,0.9148082216704363
3306,4.0,354.0,0.9143868398576394
2712,3.0,498.0,0.9140868840533792
2701,3.0,487.0,0.9115277036835454
3360,4.0,408.0,0.9104071204666454
3351,4.0,399.0,0.9104043898412055
2598,3.0,384.0,0.9102907397761423
3151,4.0,199.0,0.9082651148112393
2797,3.0,583.0,0.9062396675684561
2294,3.0,80.0,0.9059475829539202
2947,3.0,733.0,0.9052943906520082
2540,3.0,326.0,0.9051784601965963
2291,3.0,77.0,0.9050517471652527
1514,2.0,38.0,0.9042019803494368
2869,3.0,655.0,0.9035090631568716
2362,3.0,148.0,0.90347181077577
2559,3.0,345.0,0.9032357546661908
2771,3.0,557.0,0.9018716037528361
2578,3.0,364.0,0.9013012230962998
2922,3.0,708.0,0.901219138412233
1819,2.0,343.0,0.9005685807633922
2778,3.0,564.0,0.9004337569793858
2677,3.0,463.0,0.9003095155012366
2358,3.0,144.0,0.9001538062813734
2653,3.0,439.0,0.8991539042161317
3124,4.0,172.0,0.8964324517586865
2943,3.0,729.0,0.8962339895831614
2951,3.0,737.0,0.8959072194057066
2669,3.0,455.0,0.8954754506327967
2446,3.0,232.0,0.8952711750618334
2466,3.0,252.0,0.8944513455146941
2648,3.0,434.0,0.8942521114543416
2728,3.0,514.0,0.8931108868404545
1584,2.0,108.0,0.8930494591038997
2240,3.0,26.0,0.8930360098978659
2239,3.0,25.0,0.8929194283988233
2268,3.0,54.0,0.89276242429074
2729,3.0,515.0,0.8918496821954058
2317,3.0,103.0,0.8915808908283066
2461,3.0,247.0,0.8915460653987648
3523,4.0,571.0,0.8914489367581856
2479,3.0,265.0,0.8903128222640404
1926,2.0,450.0,0.8901670581505274
2244,3.0,30.0,0.8897222392953451
2722,3.0,508.0,0.8893717379521849
2794,3.0,580.0,0.8887299902967616
2554,3.0,340.0,0.8880958854168045
3652,4.0,700.0,0.8841935235413962
2920,3.0,706.0,0.8831901064816974
2383,3.0,169.0,0.8828910215030928
2904,3.0,690.0,0.8822789037152206
2548,3.0,334.0,0.8798622847498636
2659,3.0,445.0,0.8768476498102835
2841,3.0,627.0,0.8730465175917499
2344,3.0,130.0,0.8725849460364653
2140,2.0,664.0,0.8720899611005954
2632,3.0,418.0,0.8720041620175867
2792,3.0,578.0,0.8703373528809407
2688,3.0,474.0,0.870088672894594
2513,3.0,299.0,0.8700371346728052
2918,3.0,704.0,0.8686260320134013
2917,3.0,703.0,0.8686180515486072
2403,3.0,189.0,0.8681120214395092
2870,3.0,656.0,0.8673438102354123
2761,3.0,547.0,0.8669214105176828
2218,3.0,4.0,0.8660981848395659
2372,3.0,158.0,0.8650659265995637
3080,4.0,128.0,0.8644877234036253
2616,3.0,402.0,0.8634683093906868
2595,3.0,381.0,0.862004830347467
2411,3.0,197.0,0.8613243171820429
2707,3.0,493.0,0.8611813336826828
3562,4.0,610.0,0.8605565367135725
2848,3.0,634.0,0.8600140491010748
3148,4.0,196.0,0.8591936872638647
2596,3.0,382.0,0.8579313225407248
2349,3.0,135.0,0.8566751809737183
2389,3.0,175.0,0.8565686266922313
2307,3.0,93.0,0.856445923889031
2522,3.0,308.0,0.8563860229821415
3636,4.0,684.0,0.855709023338333
2533,3.0,319.0,0.8555845168452226
2843,3.0,629.0,0.854724192390203
2666,3.0,452.0,0.8532389782538932
3687,4.0,735.0,0.8523531477634172
1724,2.0,248.0,0.8521391744358663
2405,3.0,191.0,0.8517695178537006
1513,2.0,37.0,0.8504535248123822
2916,3.0,702.0,0.8476960278163441
2784,3.0,570.0,0.8475163452429777
1578,2.0,102.0,0.8466628473418676
2673,3.0,459.0,0.8465136415573284
3007,4.0,55.0,0.8462923247472605
2532,3.0,318.0,0.8461989143749381
2429,3.0,215.0,0.8461826340747712
3261,4.0,309.0,0.8450465734784136
2747,3.0,533.0,0.8444927713543267
2412,3.0,198.0,0.8439698850226006
2829,3.0,615.0,0.8437406143879007
2519,3.0,305.0,0.8437048094497562
2332,3.0,118.0,0.8430020764638523
2961,4.0,9.0,0.842195136663958
2565,3.0,351.0,0.8414572995664389
2807,3.0,593.0,0.8412930360965797
1771,2.0,295.0,0.8398263499706398
3566,4.0,614.0,0.8395686384771192
2774,3.0,560.0,0.8389530127616454
2570,3.0,356.0,0.8378232345699983
3629,4.0,677.0,0.8374730301150881
3172,4.0,220.0,0.8359216024148026
2750,3.0,536.0,0.835669861987646
3590,4.0,638.0,0.8349657464405508
2326,3.0,112.0,0.8335912625811623
1786,2.0,310.0,0.8330310267647669
2039,2.0,563.0,0.8323629317307324
3578,4.0,626.0,0.831673107848868
2491,3.0,277.0,0.8301431514103208
2695,3.0,481.0,0.8296472803175334
2863,3.0,649.0,0.8291003371112313
2861,3.0,647.0,0.8288810193061623
1595,2.0,119.0,0.8283731792560456
2381,3.0,167.0,0.828175619745629
3453,4.0,501.0,0.8277947739412952
2561,3.0,347.0,0.8273184306820737
2793,3.0,579.0,0.8272559495811741
3053,4.0,101.0,0.8268243468936717
2883,3.0,669.0,0.8264832870999936
2879,3.0,665.0,0.8248425121184503
2933,3.0,719.0,0.8247365056758158
2503,3.0,289.0,0.8245857308761361
2465,3.0,251.0,0.8243691523553945
2323,3.0,109.0,0.8238211566096606
1640,2.0,164.0,0.8231244967912171
2221,3.0,7.0,0.8222057962996137
2237,3.0,23.0,0.8212999710858544
2899,3.0,685.0,0.8212914353337538
3043,4.0,91.0,0.8211244845797385
2791,3.0,577.0,0.8208624539649322
2536,3.0,322.0,0.8206884675184402
2923,3.0,709.0,0.8183344518550989
2628,3.0,414.0,0.8181342074868226
3352,4.0,400.0,0.8165417414820445
2941,3.0,727.0,0.8162884909908066
3377,4.0,425.0,0.8161717352844229
2718,3.0,504.0,0.8154082922411031
2495,3.0,281.0,0.8142698020365704
2529,3.0,315.0,0.8136339825380453
2658,3.0,444.0,0.8136084163941792
1986,2.0,510.0,0.8133349468958149
3136,4.0,184.0,0.8119283179989586
2631,3.0,417.0,0.8108502174544399
3375,4.0,423.0,0.8108386209813712
2309,3.0,95.0,0.8108300272440047
2396,3.0,182.0,0.8102184836523689
3529,4.0,577.0,0.8100769519037236
2494,3.0,280.0,0.8098372459897061
2902,3.0,688.0,0.809706717882599
2284,3.0,70.0,0.8093969132182258
2826,3.0,612.0,0.8081338535992539
657,0.0,657.0,0.8070927869054605
2398,3.0,184.0,0.8066160829725287
3037,4.0,85.0,0.8062071921855146
2765,3.0,551.0,0.8058464559535049
2812,3.0,598.0,0.8057073657480724
2646,3.0,432.0,0.8048394198665507
67,0.0,67.0,0.8047635531994215
1773,2.0,297.0,0.8037062260010652
530,0.0,530.0,0.803327863916594
1749,2.0,273.0,0.8032652876440416
2468,3.0,254.0,0.8032076516995982
3449,4.0,497.0,0.8031818169753512
673,0.0,673.0,0.8022290428531691
2340,3.0,126.0,0.8018547910817374
2247,3.0,33.0,0.8017814198326608
2341,3.0,127.0,0.8014931234949962
2647,3.0,433.0,0.8007003267080834
