,challenge,sample,similarity
331,2.0,91.0,0.8527581643394875
442,3.0,82.0,0.7780951882763395
585,4.0,105.0,0.7680843812606737
449,3.0,89.0,0.7491670970810417
317,2.0,77.0,0.73551654660289
412,3.0,52.0,0.7326455046736132
114,0.0,114.0,0.7175107235027349
314,2.0,74.0,0.7160513957155901
441,3.0,81.0,0.7153719023745911
119,0.0,119.0,0.7110446275378346
116,0.0,116.0,0.7106428916670039
493,4.0,13.0,0.7044896648467404
106,0.0,106.0,0.700476330723533
443,3.0,83.0,0.6941194352465154
440,3.0,80.0,0.6927779604529469
102,0.0,102.0,0.6836606718593964
276,2.0,36.0,0.675567987449632
569,4.0,89.0,0.6628920037293747
81,0.0,81.0,0.6617120936931998
375,3.0,15.0,0.657472824149633
330,2.0,90.0,0.6358827493107999
452,3.0,92.0,0.6356405997062847
332,2.0,92.0,0.634794677786792
236,1.0,116.0,0.6241539244623426
270,2.0,30.0,0.6214803622389933
414,3.0,54.0,0.6212353082899583
415,3.0,55.0,0.6194425092437358
86,0.0,86.0,0.6185806160979888
462,3.0,102.0,0.6185195276983766
474,3.0,114.0,0.6155259457333839
318,2.0,78.0,0.6082392734246352
4,0.0,4.0,0.6075410138387354
334,2.0,94.0,0.6067916315071423
15,0.0,15.0,0.6065281557846326
222,1.0,102.0,0.606242488624009
336,2.0,96.0,0.6037849151949959
447,3.0,87.0,0.6034277168364754
1,0.0,1.0,0.6032280253906567
364,3.0,4.0,0.601220678318304
226,1.0,106.0,0.6006111780885621
278,2.0,38.0,0.5992010673732058
333,2.0,93.0,0.5972122099025613
103,0.0,103.0,0.5959139241263998
371,3.0,11.0,0.5943110573470567
234,1.0,114.0,0.5912390077422832
117,0.0,117.0,0.5907357479092497
417,3.0,57.0,0.5896782396016086
337,2.0,97.0,0.5896771811494157
277,2.0,37.0,0.5856684956094623
468,3.0,108.0,0.5853361658064488
14,0.0,14.0,0.5839252479116215
18,0.0,18.0,0.5831160821763723
118,0.0,118.0,0.5830170589882848
322,2.0,82.0,0.5820830290378338
562,4.0,82.0,0.5819402759581231
446,3.0,86.0,0.5808405543104364
339,2.0,99.0,0.579915364323021
479,3.0,119.0,0.5793680835497282
439,3.0,79.0,0.5755182675350636
11,0.0,11.0,0.573232342496357
563,4.0,83.0,0.5719595068162255
20,0.0,20.0,0.5712711280389866
112,0.0,112.0,0.5711374258161287
109,0.0,109.0,0.5675377997409325
466,3.0,106.0,0.5641132575808665
55,0.0,55.0,0.5635180913279454
83,0.0,83.0,0.5624452315359415
475,3.0,115.0,0.5616822398580522
495,4.0,15.0,0.5613876935491284
115,0.0,115.0,0.5607505747288685
460,3.0,100.0,0.5588532634958773
239,1.0,119.0,0.5588115349176948
419,3.0,59.0,0.5578944018941306
470,3.0,110.0,0.5563069462838607
82,0.0,82.0,0.555798133278174
110,0.0,110.0,0.5538328442042996
372,3.0,12.0,0.5513427932020583
87,0.0,87.0,0.5512955141673886
378,3.0,18.0,0.5509021302693813
361,3.0,1.0,0.5490537897880667
54,0.0,54.0,0.5481234655745103
80,0.0,80.0,0.5480314576706179
201,1.0,81.0,0.5479403233891741
287,2.0,47.0,0.5471495287526762
450,3.0,90.0,0.5465247894850768
560,4.0,80.0,0.5464203334857154
476,3.0,116.0,0.5453497348719238
409,3.0,49.0,0.544682045163035
453,3.0,93.0,0.5443618386013503
418,3.0,58.0,0.5428352191696423
111,0.0,111.0,0.542063792309768
101,0.0,101.0,0.5420029160346903
113,0.0,113.0,0.5416462059412421
232,1.0,112.0,0.5413936440978213
435,3.0,75.0,0.5398627101968237
313,2.0,73.0,0.5395591834815333
237,1.0,117.0,0.5384506972942356
463,3.0,103.0,0.5383874884549085
513,4.0,33.0,0.5372482665683993
238,1.0,118.0,0.5339659632607023
311,2.0,71.0,0.5315955342672317
367,3.0,7.0,0.5299200714089461
477,3.0,117.0,0.5297270529842093
461,3.0,101.0,0.5288604971366997
431,3.0,71.0,0.5268910297996452
108,0.0,108.0,0.5268499982757425
445,3.0,85.0,0.5263346738576827
12,0.0,12.0,0.5263147490369201
561,4.0,81.0,0.5249433820892272
8,0.0,8.0,0.5242474695268748
465,3.0,105.0,0.5237457639540183
312,2.0,72.0,0.5235934733769473
567,4.0,87.0,0.5223293682564228
484,4.0,4.0,0.5219466748476419
89,0.0,89.0,0.5219416168967321
438,3.0,78.0,0.5218266384224872
523,4.0,43.0,0.5214152811706386
478,3.0,118.0,0.5209863086296522
107,0.0,107.0,0.5209437761252892
104,0.0,104.0,0.5203092126294657
575,4.0,95.0,0.5183999946065415
430,3.0,70.0,0.5182692257882058
283,2.0,43.0,0.5178957818014716
17,0.0,17.0,0.5168370896653718
7,0.0,7.0,0.5163663548997065
223,1.0,103.0,0.5153627599646963
228,1.0,108.0,0.5122250671190282
456,3.0,96.0,0.5119278664710449
251,2.0,11.0,0.5109021978023828
315,2.0,75.0,0.5107859485952384
3,0.0,3.0,0.5101834588412816
428,3.0,68.0,0.5084796920830678
433,3.0,73.0,0.5074260125258516
206,1.0,86.0,0.5070635773403982
410,3.0,50.0,0.5060295445830048
230,1.0,110.0,0.5053598386864442
532,4.0,52.0,0.5044660284853532
405,3.0,45.0,0.5033834149215143
56,0.0,56.0,0.5029540412809502
380,3.0,20.0,0.5029018180949316
207,1.0,87.0,0.5027891292210549
467,3.0,107.0,0.5022702470442159
285,2.0,45.0,0.501677841708685
241,2.0,1.0,0.5012096697464128
473,3.0,113.0,0.5009871711265487
100,0.0,100.0,0.5006846769981309
508,4.0,28.0,0.5002949687618967
374,3.0,14.0,0.49916601082208323
274,2.0,34.0,0.49838325767578806
19,0.0,19.0,0.4980059048735773
521,4.0,41.0,0.49763850803577325
59,0.0,59.0,0.497607829378091
268,2.0,28.0,0.49714059378674746
140,1.0,20.0,0.49542926678417565
432,3.0,72.0,0.49439157468976247
424,3.0,64.0,0.49262899391968495
498,4.0,18.0,0.49229267120529063
491,4.0,11.0,0.4915982227064617
209,1.0,89.0,0.4898417532905033
22,0.0,22.0,0.48978999980695437
252,2.0,12.0,0.4897028831579664
289,2.0,49.0,0.4889079380340029
564,4.0,84.0,0.4884279212593976
284,2.0,44.0,0.4884235523856133
390,3.0,30.0,0.48788571361012645
244,2.0,4.0,0.4873842368834429
471,3.0,111.0,0.4862216172884506
139,1.0,19.0,0.4853517686404252
124,1.0,4.0,0.483530866552361
269,2.0,29.0,0.48244111430192005
23,0.0,23.0,0.48088189589649466
388,3.0,28.0,0.4808532051778943
377,3.0,17.0,0.48052323823330445
121,1.0,1.0,0.480343665410926
319,2.0,79.0,0.4796622062709863
404,3.0,44.0,0.4779309754043799
566,4.0,86.0,0.47730513179482137
368,3.0,8.0,0.4760293137775242
265,2.0,25.0,0.47543219709385376
408,3.0,48.0,0.4741888437520797
381,3.0,21.0,0.4741730616853821
402,3.0,42.0,0.47398840479792814
272,2.0,32.0,0.4738292320618902
448,3.0,88.0,0.473306268332117
258,2.0,18.0,0.4727532537728495
393,3.0,33.0,0.4723366031971914
50,0.0,50.0,0.4719765370553508
279,2.0,39.0,0.47136899777563235
273,2.0,33.0,0.47061801841880324
310,2.0,70.0,0.47006059927404564
